t; x; y; theta
7636089.572000; 0.02; 0.00; 0.00
7651376.082000; 0.02; 0.00; 0.00
7665737.684000; 0.02; 0.00; 0.00
7684491.114000; 0.02; 0.00; 0.00
7700405.707000; 0.03; 0.00; 0.00
7716252.623000; 0.03; 0.00; 0.00
7731232.809000; 0.03; 0.00; 0.00
7746317.478000; 0.03; 0.00; 0.00
7762728.362000; 0.03; 0.00; 0.00
7780124.708000; 0.03; 0.00; 0.00
7794450.690000; 0.03; 0.00; 0.00
7810257.238000; 0.03; 0.00; 0.00
7826570.764000; 0.03; 0.00; 0.00
7841930.887000; 0.03; 0.00; 0.00
7857802.736000; 0.04; 0.00; 0.00
7873868.116000; 0.04; 0.00; 0.00
7893665.185000; 0.04; 0.00; 0.00
7906078.425000; 0.04; 0.00; 0.00
7923003.411000; 0.04; 0.00; 0.00
7938211.559000; 0.04; 0.00; 0.00
7956928.184000; 0.04; 0.00; 0.00
7970127.417000; 0.04; 0.00; 0.00
7986180.924000; 0.04; 0.00; 0.00
8002088.393000; 0.05; 0.00; 0.00
8018806.789000; 0.05; 0.00; 0.00
8037474.734000; 0.05; 0.00; 0.00
8052454.920000; 0.05; 0.00; 0.00
8067955.144000; 0.05; 0.00; 0.00
8083114.613000; 0.05; 0.00; 0.00
8097739.795000; 0.05; 0.00; 0.00
8115647.868000; 0.05; 0.00; 0.00
8131893.717000; 0.05; 0.00; 0.00
8146530.773000; 0.05; 0.00; 0.00
8164530.267000; 0.06; 0.00; 0.00
8179573.380000; 0.06; 0.00; 0.00
8195518.843000; 0.06; 0.00; 0.00
8210431.353000; 0.06; 0.00; 0.00
8226063.367000; 0.06; 0.00; 0.00
8243921.573000; 0.06; 0.00; 0.00
8259460.978000; 0.06; 0.00; 0.00
8275094.180000; 0.06; 0.00; 0.00
8292817.033000; 0.06; 0.00; 0.00
8307513.454000; 0.07; 0.00; 0.00
8322269.240000; 0.07; 0.00; 0.00
8341171.083000; 0.07; 0.00; 0.00
8355797.454000; 0.07; 0.00; 0.00
8371400.973000; 0.07; 0.00; 0.00
8387550.651000; 0.07; 0.00; 0.00
8402249.447000; 0.07; 0.00; 0.00
8420544.579000; 0.07; 0.00; 0.00
8435935.572000; 0.07; 0.00; 0.00
8451486.850000; 0.07; 0.00; 0.00
8466812.541000; 0.08; 0.00; 0.00
8482837.552000; 0.08; 0.00; 0.00
8498508.748000; 0.08; 0.00; 0.00
8515271.074000; 0.08; 0.00; 0.00
8530933.958000; 0.08; 0.00; 0.00
8546320.202000; 0.08; 0.00; 0.00
8562310.781000; 0.08; 0.00; 0.00
8577863.247000; 0.08; 0.00; 0.00
8596892.132000; 0.08; 0.00; 0.00
8612565.702000; 0.09; 0.00; 0.00
8625858.732000; 0.09; 0.00; 0.00
8643967.458000; 0.09; 0.00; 0.00
8659331.143000; 0.09; 0.00; 0.00
8674966.719000; 0.09; 0.00; 0.00
8690725.775000; 0.09; 0.00; 0.00
8706503.828000; 0.09; 0.00; 0.00
